         1107221 function calls (1078620 primitive calls) in 47.052 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
169951/169943    0.010    0.000    0.010    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.010    0.010 /usr/lib/python3.10/pathlib.py:1129(read_text)
        1    0.006    0.006    0.010    0.010 {method 'read' of '_io.TextIOWrapper' objects}
      232    0.002    0.000    0.009    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_base.py:1269(_get_index_dtype)
        1    0.007    0.007    0.008    0.008 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh_features.py:230(<listcomp>)
       19    0.008    0.000    0.008    0.000 {pandas._libs.lib.maybe_convert_objects}
      232    0.004    0.000    0.007    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_sputils.py:147(get_index_dtype)
        1    0.006    0.006    0.006    0.006 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh_features.py:229(<listcomp>)
        1    0.006    0.006    0.006    0.006 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh_features.py:228(<listcomp>)
    28023    0.004    0.000    0.006    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh2vec_exceptions.py:54(<genexpr>)
        2    0.000    0.000    0.005    0.003 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/frame.py:3955(__setitem__)
        1    0.000    0.000    0.005    0.005 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh2vec_cae.py:168(<dictcomp>)
        2    0.005    0.003    0.005    0.003 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh2vec_cae.py:168(<listcomp>)
        2    0.000    0.000    0.005    0.003 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/frame.py:4164(_set_item)
       11    0.005    0.000    0.005    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/dtypes/cast.py:1763(construct_1d_object_array_from_listlike)
        1    0.005    0.005    0.005    0.005 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh_features.py:226(<listcomp>)
        2    0.000    0.000    0.005    0.002 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/frame.py:4892(_sanitize_column)
        1    0.000    0.000    0.004    0.004 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh_features.py:150(__init__)
        1    0.004    0.004    0.004    0.004 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/mesh2vec/mesh2vec_exceptions.py:57(<listcomp>)
